id_cliente,nombre,sexo,telefono,email,fecha_registro,sucursal_preferida
C0023,Valeria Torres Martínez,F,5532954413,valeria.torres.martinez10@gmail.com,2025-01-01,Cuauhtémoc
C0024,Ana Martínez González,F,5515356806,ana.martinez.gonzalez65@gmail.com,2026-02-19,Cuauhtémoc
C0025,Andrea Rodríguez Morales,F,5582140380,andrea.rodriguez.morales90@gmail.com,2026-04-02,Cuauhtémoc
C0026,Pablo Flores Gutiérrez,M,5581489694,pablo.flores.gutierrez21@gmail.com,2025-10-01,Cuauhtémoc
C0027,Rodrigo Vázquez Morales,M,5547143753,rodrigo.vazquez.morales77@gmail.com,2025-10-23,San Ángel
C0028,Natalia Ramírez Rodríguez,F,5588854192,natalia.ramirez.rodriguez60@gmail.com,2022-09-02,San Ángel
C0029,Renata Sánchez Reyes,F,5551327942,renata.sanchez.reyes10@gmail.com,2021-12-05,Cuauhtémoc
C0030,Natalia Cruz Vázquez,F,5574369192,natalia.cruz.vazquez33@gmail.com,2025-09-21,San Ángel
C0031,Victoria Pérez Cruz,F,5597943028,victoria.perez.cruz86@gmail.com,2024-04-26,Cuauhtémoc
C0032,Camila Díaz Gutiérrez,F,5573676521,camila.diaz.gutierrez94@gmail.com,2023-07-26,San Ángel
C0033,Renata López Hernández,F,5518750020,renata.lopez.hernandez27@gmail.com,2023-01-21,Cuauhtémoc
C0034,Hugo Flores Gómez,M,5550080030,hugo.flores.gomez97@gmail.com,2025-03-24,Cuauhtémoc
C0035,Andrea Gutiérrez Cruz,F,5578338494,andrea.gutierrez.cruz45@gmail.com,2024-02-27,Cuauhtémoc
C0036,Claudia Rodríguez Flores,F,5553092102,claudia.rodriguez.flores68@gmail.com,2023-11-12,Cuauhtémoc
C0037,Carolina Gutiérrez Gutiérrez,F,5542917299,carolina.gutierrez.gutierrez42@gmail.com,2024-01-28,Cuauhtémoc
C0038,Maria Morales García,F,5538012530,maria.morales.garcia95@gmail.com,2024-09-23,Cuauhtémoc
C0039,Andrea Díaz Gómez,F,5519260599,andrea.diaz.gomez49@gmail.com,2023-06-09,San Ángel
C0040,Victoria Gutiérrez Sánchez,F,5521122956,victoria.gutierrez.sanchez93@gmail.com,2022-12-14,San Ángel
C0041,Carlos Gutiérrez Flores,M,5540817209,carlos.gutierrez.flores30@gmail.com,2025-11-02,San Ángel
C0042,Valeria Torres Mendoza,F,5529532961,valeria.torres.mendoza78@gmail.com,2024-06-23,Cuauhtémoc
C0043,Fernando Pérez Díaz,M,5562768222,fernando.perez.diaz51@gmail.com,2025-03-26,San Ángel
C0044,Gabriela Gutiérrez Torres,F,5569906440,gabriela.gutierrez.torres15@gmail.com,2024-06-03,San Ángel
C0045,Paula Vázquez García,F,5519516313,paula.vazquez.garcia50@gmail.com,2024-05-22,San Ángel
C0046,Lucia Gómez Díaz,F,5589159371,lucia.gomez.diaz73@gmail.com,2024-11-12,Cuauhtémoc
C0047,Carlos Jiménez Martínez,M,5567230031,carlos.jimenez.martinez53@gmail.com,2025-08-24,Cuauhtémoc
C0048,Ximena Hernández Gómez,F,5565700494,ximena.hernandez.gomez32@gmail.com,2024-04-26,Cuauhtémoc
C0049,Maria Rodríguez Rodríguez,F,5593271587,maria.rodriguez.rodriguez80@gmail.com,2025-09-06,San Ángel
C0050,Carolina González Ramírez,F,5516645027,carolina.gonzalez.ramirez86@gmail.com,2024-08-26,San Ángel
C0051,Claudia Gómez Cruz,F,5559374594,claudia.gomez.cruz39@gmail.com,2023-03-24,Cuauhtémoc
C0052,Andrea Gutiérrez Ramírez,F,5590517964,andrea.gutierrez.ramirez14@gmail.com,2021-09-04,San Ángel
C0053,Eduardo Gutiérrez Gutiérrez,M,5534682516,eduardo.gutierrez.gutierrez51@gmail.com,2023-01-27,San Ángel
C0054,Daniela Pérez Jiménez,F,5510433518,daniela.perez.jimenez79@gmail.com,2026-07-25,Cuauhtémoc
C0055,Ximena Rodríguez Jiménez,F,5533386985,ximena.rodriguez.jimenez55@gmail.com,2022-07-14,San Ángel
C0056,Hugo Vázquez Díaz,M,5588813639,hugo.vazquez.diaz71@gmail.com,2023-09-23,San Ángel
C0057,Ricardo Jiménez Gómez,M,5581011346,ricardo.jimenez.gomez61@gmail.com,2024-06-20,Cuauhtémoc
C0058,Diego López Reyes,M,5583330541,diego.lopez.reyes81@gmail.com,2023-09-27,Cuauhtémoc
C0059,Daniela Sánchez Martínez,F,5549404800,daniela.sanchez.martinez76@gmail.com,2022-11-18,Cuauhtémoc
C0060,Gabriela Rodríguez Mendoza,F,5572503077,gabriela.rodriguez.mendoza50@gmail.com,2023-08-27,San Ángel
C0061,Ricardo López Torres,M,5521525584,ricardo.lopez.torres19@gmail.com,2025-07-22,Cuauhtémoc
C0062,Claudia Flores Pérez,F,5536789181,claudia.flores.perez43@gmail.com,2023-02-13,Cuauhtémoc
C0063,Andrea Mendoza López,F,5544943901,andrea.mendoza.lopez64@gmail.com,2021-04-03,Cuauhtémoc
C0064,Mariana Gutiérrez Vázquez,F,5532315504,mariana.gutierrez.vazquez58@gmail.com,2025-01-03,San Ángel
C0065,Carlos Cruz Mendoza,M,5552496457,carlos.cruz.mendoza88@gmail.com,2024-05-02,Cuauhtémoc
C0066,Lucia Mendoza Jiménez,F,5566036550,lucia.mendoza.jimenez74@gmail.com,2024-05-27,Cuauhtémoc
C0067,Ricardo Ramírez Vázquez,M,5587100767,ricardo.ramirez.vazquez73@gmail.com,2023-03-14,Cuauhtémoc
C0068,Mariana Pérez Pérez,F,5531156691,mariana.perez.perez14@gmail.com,2026-01-26,Cuauhtémoc
C0069,Gabriela Gómez Torres,F,5569628790,gabriela.gomez.torres13@gmail.com,2022-02-27,Cuauhtémoc
C0070,Sofia Martínez Martínez,F,5596766322,sofia.martinez.martinez58@gmail.com,2025-07-30,Cuauhtémoc
C0071,Victoria Morales Sánchez,F,5578874410,victoria.morales.sanchez51@gmail.com,2024-11-19,Cuauhtémoc
C0072,Ricardo Díaz Jiménez,M,5518622592,ricardo.diaz.jimenez48@gmail.com,2025-07-08,San Ángel
C0073,Carlos Díaz Pérez,M,5560391769,carlos.diaz.perez64@gmail.com,2021-10-20,Cuauhtémoc
C0074,Valeria Cruz López,F,5555077779,valeria.cruz.lopez86@gmail.com,2023-09-28,San Ángel
C0075,Regina Reyes Ramírez,F,5532482593,regina.reyes.ramirez18@gmail.com,2025-11-21,Cuauhtémoc
C0076,Fernando Jiménez Sánchez,M,5545789143,fernando.jimenez.sanchez29@gmail.com,2025-03-25,Cuauhtémoc
C0077,Eduardo Ramírez González,M,5539241722,eduardo.ramirez.gonzalez35@gmail.com,2026-06-29,Cuauhtémoc
C0078,Valeria Rodríguez Flores,F,5592961387,valeria.rodriguez.flores62@gmail.com,2025-01-23,San Ángel
C0079,Carolina Gómez Rodríguez,F,5584270771,carolina.gomez.rodriguez12@gmail.com,2024-08-06,Cuauhtémoc
C0080,Paula Jiménez Sánchez,F,5565613841,paula.jimenez.sanchez64@gmail.com,2024-10-29,Cuauhtémoc
C0081,Andrea Gutiérrez Díaz,F,5587333827,andrea.gutierrez.diaz82@gmail.com,2022-05-26,San Ángel
C0082,Victoria Gutiérrez Hernández,F,5586071627,victoria.gutierrez.hernandez25@gmail.com,2021-02-11,Cuauhtémoc
C0083,Jose Gutiérrez Sánchez,M,5538102508,jose.gutierrez.sanchez15@gmail.com,2023-03-21,Cuauhtémoc
C0084,Fernanda Vázquez Pérez,F,5591816095,fernanda.vazquez.perez19@gmail.com,2025-10-21,Cuauhtémoc
C0085,Adrian Pérez Sánchez,M,5578806309,adrian.perez.sanchez58@gmail.com,2025-07-04,Cuauhtémoc
C0086,Daniela Díaz Hernández,F,5518045321,daniela.diaz.hernandez45@gmail.com,2022-12-08,San Ángel
C0087,Maria García Vázquez,F,5514083020,maria.garcia.vazquez46@gmail.com,2026-04-24,Cuauhtémoc
C0088,Fernando Mendoza Reyes,M,5549540967,fernando.mendoza.reyes41@gmail.com,2024-03-25,Cuauhtémoc
C0089,Camila Ramírez Pérez,F,5551838178,camila.ramirez.perez76@gmail.com,2023-05-05,San Ángel
C0090,Miguel Flores Mendoza,M,5514362854,miguel.flores.mendoza93@gmail.com,2022-02-25,Cuauhtémoc
C0091,Claudia Reyes Hernández,F,5568351379,claudia.reyes.hernandez92@gmail.com,2023-05-20,Cuauhtémoc
C0092,Mariana López Martínez,F,5566235814,mariana.lopez.martinez82@gmail.com,2025-09-03,San Ángel
C0093,Ricardo Mendoza García,M,5569353608,ricardo.mendoza.garcia77@gmail.com,2024-09-10,Cuauhtémoc
C0094,Fernanda Torres Díaz,F,5588871618,fernanda.torres.diaz76@gmail.com,2022-11-10,San Ángel
C0095,Luis Díaz López,M,5552673655,luis.diaz.lopez99@gmail.com,2023-03-23,Cuauhtémoc
C0096,Sofia Flores Mendoza,F,5520247156,sofia.flores.mendoza18@gmail.com,2023-09-14,Cuauhtémoc
C0097,Jose Mendoza Hernández,M,5589547921,jose.mendoza.hernandez88@gmail.com,2022-12-24,Cuauhtémoc
C0098,Renata Torres Pérez,F,5515569491,renata.torres.perez44@gmail.com,2026-03-02,San Ángel
C0099,Laura Morales Cruz,F,5514333735,laura.morales.cruz94@gmail.com,2024-03-30,San Ángel
C0100,Andrea Torres Flores,F,5521795448,andrea.torres.flores76@gmail.com,2025-02-22,Cuauhtémoc
C0101,Santiago Cruz Hernández,M,5513747477,santiago.cruz.hernandez48@gmail.com,2021-05-20,Cuauhtémoc
C0102,Paula Mendoza Vázquez,F,5562462489,paula.mendoza.vazquez68@gmail.com,2024-06-02,Cuauhtémoc
C0103,Sofia Gómez Flores,F,5557655362,sofia.gomez.flores99@gmail.com,2022-12-24,Cuauhtémoc
C0104,Valeria González Jiménez,F,5526902125,valeria.gonzalez.jimenez22@gmail.com,2023-01-04,San Ángel
C0105,Laura Pérez García,F,5585192418,laura.perez.garcia88@gmail.com,2024-06-20,Cuauhtémoc
C0106,Sofia Díaz Vázquez,F,5512406448,sofia.diaz.vazquez63@gmail.com,2024-10-12,Cuauhtémoc
C0107,Luis Torres Pérez,M,5540770721,luis.torres.perez64@gmail.com,2024-07-02,San Ángel
C0108,Regina Reyes González,F,5599420875,regina.reyes.gonzalez70@gmail.com,2023-02-16,San Ángel
C0109,Natalia Cruz Gutiérrez,F,5529181113,natalia.cruz.gutierrez55@gmail.com,2022-07-22,Cuauhtémoc
C0110,Daniela Mendoza Cruz,F,5532506222,daniela.mendoza.cruz29@gmail.com,2022-05-25,Cuauhtémoc
C0111,Laura Jiménez García,F,5559486404,laura.jimenez.garcia16@gmail.com,2022-06-20,Cuauhtémoc
C0112,Carlos Díaz García,M,5551141540,carlos.diaz.garcia34@gmail.com,2022-02-09,San Ángel
C0113,Natalia Cruz Flores,F,5561599713,natalia.cruz.flores63@gmail.com,2026-03-10,San Ángel
C0114,Renata Díaz García,F,5594789521,renata.diaz.garcia88@gmail.com,2026-05-16,San Ángel
C0115,Lucia Flores López,F,5559002103,lucia.flores.lopez56@gmail.com,2023-04-06,San Ángel
C0116,Natalia Vázquez Cruz,F,5591545868,natalia.vazquez.cruz31@gmail.com,2022-06-11,San Ángel
C0117,Paula Rodríguez Díaz,F,5518350528,paula.rodriguez.diaz58@gmail.com,2024-11-09,Cuauhtémoc
C0118,Laura González Sánchez,F,5559932252,laura.gonzalez.sanchez62@gmail.com,2023-02-09,Cuauhtémoc
C0119,Rodrigo Sánchez Flores,M,5552114575,rodrigo.sanchez.flores94@gmail.com,2024-02-12,Cuauhtémoc
C0120,Camila Torres Ramírez,F,5570334831,camila.torres.ramirez43@gmail.com,2021-12-28,Cuauhtémoc
C0121,Jose Martínez Pérez,M,5575801922,jose.martinez.perez95@gmail.com,2023-12-07,Cuauhtémoc
C0122,Ana García Cruz,F,5560866819,ana.garcia.cruz26@gmail.com,2025-03-19,Cuauhtémoc
C0123,Claudia Gutiérrez Martínez,F,5548862916,claudia.gutierrez.martinez57@gmail.com,2022-01-23,Cuauhtémoc
C0124,Javier Gutiérrez Torres,M,5517024167,javier.gutierrez.torres40@gmail.com,2023-06-12,Cuauhtémoc
C0125,Victoria Morales López,F,5591549869,victoria.morales.lopez16@gmail.com,2025-07-20,Cuauhtémoc
C0126,Valeria González López,F,5524135908,valeria.gonzalez.lopez81@gmail.com,2023-08-23,Cuauhtémoc
C0127,Lucia González Flores,F,5592269181,lucia.gonzalez.flores64@gmail.com,2023-02-15,Cuauhtémoc
C0128,Mariana Gómez Jiménez,F,5552100292,mariana.gomez.jimenez16@gmail.com,2022-04-17,Cuauhtémoc
C0129,Mariana Morales Díaz,F,5580558942,mariana.morales.diaz73@gmail.com,2023-02-07,San Ángel
C0130,Daniela Pérez Pérez,F,5512799429,daniela.perez.perez15@gmail.com,2022-10-12,San Ángel
C0131,Ricardo Flores Mendoza,M,5526509972,ricardo.flores.mendoza65@gmail.com,2023-01-10,Cuauhtémoc
C0132,Mariana Vázquez Díaz,F,5553444446,mariana.vazquez.diaz27@gmail.com,2025-07-28,Cuauhtémoc
C0133,Rodrigo Reyes García,M,5564555408,rodrigo.reyes.garcia13@gmail.com,2023-02-11,Cuauhtémoc
C0134,Carolina Gutiérrez Torres,F,5588191151,carolina.gutierrez.torres18@gmail.com,2025-05-25,Cuauhtémoc
C0135,Paula Reyes García,F,5510032727,paula.reyes.garcia97@gmail.com,2024-08-22,Cuauhtémoc
C0136,Oscar Torres Sánchez,M,5526156441,oscar.torres.sanchez59@gmail.com,2025-11-06,San Ángel
C0137,Gabriela Sánchez Ramírez,F,5598471613,gabriela.sanchez.ramirez91@gmail.com,2026-07-29,Cuauhtémoc
C0138,Claudia Cruz Flores,F,5566927311,claudia.cruz.flores70@gmail.com,2024-10-06,Cuauhtémoc
C0139,Alejandro Jiménez Vázquez,M,5538420657,alejandro.jimenez.vazquez36@gmail.com,2024-01-12,Cuauhtémoc
C0140,Daniela Hernández Vázquez,F,5514103480,daniela.hernandez.vazquez69@gmail.com,2023-12-23,San Ángel
C0141,Regina Hernández Gutiérrez,F,5590059483,regina.hernandez.gutierrez87@gmail.com,2025-11-19,Cuauhtémoc
C0142,Camila Martínez Jiménez,F,5588060308,camila.martinez.jimenez14@gmail.com,2025-12-19,Cuauhtémoc
C0143,Fernanda Ramírez Hernández,F,5591369797,fernanda.ramirez.hernandez61@gmail.com,2022-03-06,San Ángel
C0144,Eduardo Hernández Rodríguez,M,5523027454,eduardo.hernandez.rodriguez53@gmail.com,2024-08-19,Cuauhtémoc
C0145,Gabriela Martínez Martínez,F,5514247149,gabriela.martinez.martinez35@gmail.com,2021-08-27,Cuauhtémoc
C0146,Natalia Rodríguez Flores,F,5555316883,natalia.rodriguez.flores17@gmail.com,2024-09-18,San Ángel
C0147,Regina Torres Vázquez,F,5540112715,regina.torres.vazquez66@gmail.com,2023-06-28,San Ángel
C0148,Renata Díaz Gómez,F,5594967131,renata.diaz.gomez83@gmail.com,2025-10-24,San Ángel
C0149,Laura Cruz Reyes,F,5546031169,laura.cruz.reyes72@gmail.com,2021-08-16,San Ángel
C0150,Renata Flores López,F,5524292755,renata.flores.lopez45@gmail.com,2021-10-24,Cuauhtémoc
C0151,Mariana Jiménez Díaz,F,5546054151,mariana.jimenez.diaz44@gmail.com,2024-04-01,San Ángel
C0152,Laura Torres García,F,5553292425,laura.torres.garcia66@gmail.com,2023-09-07,San Ángel
C0153,Fernanda Torres García,F,5538016809,fernanda.torres.garcia21@gmail.com,2022-05-22,Cuauhtémoc
C0154,Natalia Gómez Flores,F,5546522511,natalia.gomez.flores35@gmail.com,2025-10-17,Cuauhtémoc
C0155,Gabriela González Gómez,F,5578980868,gabriela.gonzalez.gomez93@gmail.com,2023-01-15,Cuauhtémoc
C0156,Carolina Jiménez García,F,5536310623,carolina.jimenez.garcia24@gmail.com,2023-05-21,Cuauhtémoc
C0157,Mariana Pérez Ramírez,F,5567590898,mariana.perez.ramirez86@gmail.com,2023-12-01,San Ángel
C0158,Javier Cruz Reyes,M,5577571648,javier.cruz.reyes19@gmail.com,2025-04-25,Cuauhtémoc
C0159,Daniel Jiménez López,M,5525195370,daniel.jimenez.lopez72@gmail.com,2023-08-03,San Ángel
C0160,Natalia Cruz Cruz,F,5540104826,natalia.cruz.cruz14@gmail.com,2021-05-31,Cuauhtémoc
C0161,Carolina Cruz González,F,5576870993,carolina.cruz.gonzalez98@gmail.com,2023-10-16,Cuauhtémoc
C0162,Daniel Sánchez Sánchez,M,5582536263,daniel.sanchez.sanchez23@gmail.com,2023-07-03,San Ángel
C0163,Fernanda Martínez Rodríguez,F,5587677936,fernanda.martinez.rodriguez99@gmail.com,2021-05-05,San Ángel
C0164,Ximena Morales Pérez,F,5535476041,ximena.morales.perez34@gmail.com,2025-07-16,San Ángel
C0165,Fernanda Hernández Cruz,F,5537559464,fernanda.hernandez.cruz26@gmail.com,2022-07-20,San Ángel
C0166,Claudia Cruz Morales,F,5570339409,claudia.cruz.morales90@gmail.com,2022-10-09,San Ángel
C0167,Valeria Torres Vázquez,F,5594581747,valeria.torres.vazquez50@gmail.com,2023-10-08,Cuauhtémoc
C0168,Victoria Jiménez Flores,F,5540631015,victoria.jimenez.flores36@gmail.com,2022-12-06,Cuauhtémoc
C0169,Carolina Gómez Reyes,F,5537852996,carolina.gomez.reyes88@gmail.com,2024-07-29,Cuauhtémoc
C0170,Sofia Gómez Morales,F,5562167221,sofia.gomez.morales38@gmail.com,2024-09-11,Cuauhtémoc
C0171,Paula Ramírez Pérez,F,5528357763,paula.ramirez.perez65@gmail.com,2021-10-06,San Ángel
C0172,Eduardo Jiménez Ramírez,M,5562805620,eduardo.jimenez.ramirez60@gmail.com,2023-06-12,Cuauhtémoc
C0173,Andrea Cruz Mendoza,F,5516180409,andrea.cruz.mendoza22@gmail.com,2024-08-29,Cuauhtémoc
C0174,Sofia Reyes Ramírez,F,5535003145,sofia.reyes.ramirez22@gmail.com,2022-04-17,Cuauhtémoc
C0175,Sofia López Flores,F,5559228522,sofia.lopez.flores48@gmail.com,2024-04-09,Cuauhtémoc
C0176,Renata Gutiérrez López,F,5569223991,renata.gutierrez.lopez24@gmail.com,2026-05-18,Cuauhtémoc
C0177,Renata Díaz González,F,5585379431,renata.diaz.gonzalez12@gmail.com,2022-12-18,San Ángel
C0178,Luis Díaz Sánchez,M,5527135346,luis.diaz.sanchez54@gmail.com,2024-06-11,Cuauhtémoc
C0179,Maria Sánchez García,F,5598111496,maria.sanchez.garcia98@gmail.com,2026-06-12,Cuauhtémoc
C0180,Luis Martínez Cruz,M,5595479659,luis.martinez.cruz60@gmail.com,2025-10-09,Cuauhtémoc
C0181,Daniela Ramírez Gómez,F,5521084257,daniela.ramirez.gomez14@gmail.com,2023-03-08,Cuauhtémoc
C0182,Ximena Torres García,F,5522857052,ximena.torres.garcia64@gmail.com,2024-06-02,Cuauhtémoc
C0183,Jose Díaz Gómez,M,5585626646,jose.diaz.gomez60@gmail.com,2024-03-31,Cuauhtémoc
C0184,Regina Cruz Flores,F,5588108853,regina.cruz.flores32@gmail.com,2024-11-05,San Ángel
C0185,Paula Mendoza Jiménez,F,5580301558,paula.mendoza.jimenez64@gmail.com,2021-07-10,Cuauhtémoc
C0186,Claudia Torres Sánchez,F,5580349747,claudia.torres.sanchez37@gmail.com,2025-02-25,Cuauhtémoc
C0187,Renata Mendoza Ramírez,F,5550523812,renata.mendoza.ramirez62@gmail.com,2022-06-25,Cuauhtémoc
C0188,Fernanda Ramírez Jiménez,F,5522608405,fernanda.ramirez.jimenez66@gmail.com,2023-02-01,Cuauhtémoc
C0189,Claudia Cruz Mendoza,F,5593145136,claudia.cruz.mendoza55@gmail.com,2024-08-03,San Ángel
C0190,Lucia Mendoza Torres,F,5557611424,lucia.mendoza.torres53@gmail.com,2021-04-21,Cuauhtémoc
C0191,Alejandro Gómez Gutiérrez,M,5595409450,alejandro.gomez.gutierrez69@gmail.com,2025-01-24,Cuauhtémoc
C0192,Maria García Reyes,F,5552982679,maria.garcia.reyes25@gmail.com,2021-08-01,San Ángel
C0193,Daniela Gómez Torres,F,5514275760,daniela.gomez.torres98@gmail.com,2023-05-28,Cuauhtémoc
C0194,Claudia Ramírez Gómez,F,5570018530,claudia.ramirez.gomez50@gmail.com,2023-12-06,Cuauhtémoc
C0195,Regina Hernández Ramírez,F,5579421129,regina.hernandez.ramirez49@gmail.com,2023-09-04,Cuauhtémoc
C0196,Andrea Díaz Ramírez,F,5577881107,andrea.diaz.ramirez61@gmail.com,2024-01-16,Cuauhtémoc
C0197,Mariana Gutiérrez Díaz,F,5523123518,mariana.gutierrez.diaz27@gmail.com,2021-11-26,San Ángel
C0198,Mateo Flores Flores,M,5581197890,mateo.flores.flores13@gmail.com,2024-04-27,San Ángel
C0199,Claudia Reyes Torres,F,5574153151,claudia.reyes.torres64@gmail.com,2024-07-25,Cuauhtémoc
C0200,Ana González Vázquez,F,5565575070,ana.gonzalez.vazquez99@gmail.com,2023-04-06,San Ángel
C0201,Claudia Flores Díaz,F,5567144140,claudia.flores.diaz33@gmail.com,2025-12-21,Cuauhtémoc
C0202,Mariana Morales Hernández,F,5583793088,mariana.morales.hernandez89@gmail.com,2025-09-30,San Ángel
C0203,Victoria Martínez Ramírez,F,5577101984,victoria.martinez.ramirez45@gmail.com,2026-05-10,Cuauhtémoc
C0204,Javier García Morales,M,5518320311,javier.garcia.morales15@gmail.com,2023-03-17,San Ángel
C0205,Andrea Flores García,F,5557395429,andrea.flores.garcia38@gmail.com,2022-08-30,San Ángel
C0206,Laura Díaz Mendoza,F,5564694432,laura.diaz.mendoza92@gmail.com,2021-10-16,San Ángel
C0207,Claudia Reyes Ramírez,F,5571545039,claudia.reyes.ramirez85@gmail.com,2021-03-28,Cuauhtémoc
C0208,Natalia Martínez Jiménez,F,5519806615,natalia.martinez.jimenez94@gmail.com,2026-07-16,Cuauhtémoc
C0209,Natalia Gutiérrez Sánchez,F,5514043459,natalia.gutierrez.sanchez79@gmail.com,2023-06-14,Cuauhtémoc
C0210,Valeria Rodríguez Flores,F,5549594522,valeria.rodriguez.flores95@gmail.com,2025-10-16,San Ángel
C0211,Adrian Sánchez Torres,M,5579499838,adrian.sanchez.torres30@gmail.com,2024-07-02,San Ángel
C0212,Rodrigo García Gutiérrez,M,5523167909,rodrigo.garcia.gutierrez45@gmail.com,2025-06-21,Cuauhtémoc
C0213,Valeria López Hernández,F,5540390132,valeria.lopez.hernandez27@gmail.com,2021-04-05,Cuauhtémoc
C0214,Regina Reyes Flores,F,5530816282,regina.reyes.flores73@gmail.com,2024-08-25,Cuauhtémoc
C0215,Renata Ramírez Gómez,F,5576833986,renata.ramirez.gomez97@gmail.com,2024-01-09,Cuauhtémoc
C0216,Santiago Jiménez Ramírez,M,5539408221,santiago.jimenez.ramirez69@gmail.com,2026-07-01,Cuauhtémoc
C0217,Jose Ramírez García,M,5584453075,jose.ramirez.garcia43@gmail.com,2026-06-27,Cuauhtémoc
C0218,Ximena Reyes Morales,F,5584307341,ximena.reyes.morales74@gmail.com,2022-07-20,Cuauhtémoc
C0219,Carolina Pérez Mendoza,F,5522040281,carolina.perez.mendoza23@gmail.com,2021-05-03,San Ángel
C0220,Eduardo García Morales,M,5556578048,eduardo.garcia.morales43@gmail.com,2024-04-19,San Ángel
C0221,Daniela Rodríguez Díaz,F,5562394939,daniela.rodriguez.diaz79@gmail.com,2025-05-11,San Ángel
C0222,Alejandro Reyes Gómez,M,5577761395,alejandro.reyes.gomez77@gmail.com,2024-01-13,San Ángel
C0223,Regina Flores González,F,5599621516,regina.flores.gonzalez91@gmail.com,2021-06-09,San Ángel
C0224,Claudia Torres Torres,F,5556367877,claudia.torres.torres73@gmail.com,2024-10-16,Cuauhtémoc
C0225,Eduardo Rodríguez Hernández,M,5540954635,eduardo.rodriguez.hernandez30@gmail.com,2022-08-12,Cuauhtémoc
C0226,Carolina Martínez Torres,F,5576699311,carolina.martinez.torres65@gmail.com,2025-02-12,Cuauhtémoc
C0227,Camila Ramírez Vázquez,F,5579671461,camila.ramirez.vazquez29@gmail.com,2023-04-28,Cuauhtémoc
C0228,Carolina Flores Ramírez,F,5530823593,carolina.flores.ramirez56@gmail.com,2025-04-24,San Ángel
C0229,Mariana Díaz Torres,F,5580153279,mariana.diaz.torres13@gmail.com,2026-03-17,Cuauhtémoc
C0230,Gabriela González Vázquez,F,5560969659,gabriela.gonzalez.vazquez28@gmail.com,2022-02-11,Cuauhtémoc
C0231,Fernanda Jiménez Mendoza,F,5576739925,fernanda.jimenez.mendoza25@gmail.com,2026-07-12,Cuauhtémoc
C0232,Daniela Gutiérrez Mendoza,F,5526020723,daniela.gutierrez.mendoza96@gmail.com,2026-07-01,Cuauhtémoc
C0233,Carolina Díaz Ramírez,F,5555082016,carolina.diaz.ramirez75@gmail.com,2023-03-10,San Ángel
C0234,Ana Martínez García,F,5572384161,ana.martinez.garcia59@gmail.com,2024-08-07,Cuauhtémoc
C0235,Regina Ramírez Gutiérrez,F,5531720988,regina.ramirez.gutierrez47@gmail.com,2022-09-01,Cuauhtémoc
C0236,Lucia Díaz Díaz,F,5592163650,lucia.diaz.diaz53@gmail.com,2026-02-09,Cuauhtémoc
