Fecha,Cliente,TipoVenta,Clase,Aparato,Paquete,Fitpass,Sucursal,Total
2023-01-09,Andrea Hernández,Clase Individual,Reformer,Reformer,0,No,Roma,435
2023-01-09,Valeria Cruz,Clase Individual,Reformer,Reformer,0,No,Polanco,397
2023-01-10,Daniela Gutiérrez,Clase Individual,Chair,Chair,0,No,Condesa,495
2023-01-10,Ana Cruz,Clase Individual,Reformer,Reformer,0,No,Roma,402
2023-01-10,Valeria Flores,Clase Individual,Mat Pilates,Ninguno,0,No,Roma,455
2023-01-10,Ana García,Paquete,Cadillac,Cadillac,8,No,Condesa,3178
2023-01-10,Carolina Díaz,Fitpass,Cadillac,Cadillac,0,Sí,Condesa,193
2023-01-10,Valeria González,Paquete,Reformer,Reformer,12,No,Polanco,4680
2023-01-10,Luis Gutiérrez,Paquete,Reformer,Reformer,24,No,Condesa,7982
2023-01-10,Claudia Sánchez,Clase Individual,Reformer,Reformer,0,No,Polanco,424
2023-01-10,Andrea Gutiérrez,Fitpass,Chair,Chair,0,Sí,Polanco,221
2023-01-10,Paula Reyes,Clase Individual,Chair,Chair,0,No,Roma,480
2023-01-10,Fernanda Jiménez,Paquete,Cadillac,Cadillac,8,No,Roma,3255
2023-01-10,Renata Cruz,Fitpass,Chair,Chair,0,Sí,Condesa,214
2023-01-10,Javier Díaz,Paquete,Reformer,Reformer,8,No,Polanco,2924
2023-01-10,Natalia Sánchez,Paquete,Cadillac,Cadillac,8,No,Condesa,3189
2023-01-10,Andrea González,Paquete,Reformer,Reformer,12,No,Roma,4379
2023-01-10,Claudia González,Fitpass,Cadillac,Cadillac,0,Sí,Polanco,183
2023-01-11,Carlos Pérez,Paquete,Reformer,Reformer,8,No,Roma,3244
2023-01-11,Camila Hernández,Paquete,Mat Pilates,Ninguno,12,No,Roma,4239
2023-01-11,Lucía García,Fitpass,Reformer,Reformer,0,Sí,Roma,180
2023-01-11,Ximena García,Fitpass,Reformer,Reformer,0,Sí,Polanco,208
2023-01-11,Lucía Hernández,Paquete,Mat Pilates,Ninguno,12,No,Roma,4453
2023-01-11,Carolina Mendoza,Clase Individual,Reformer,Reformer,0,No,Roma,519
2023-01-11,Ximena González,Paquete,Reformer,Reformer,8,No,Condesa,3286
2023-01-11,Andrea Reyes,Fitpass,Mat Pilates,Ninguno,0,Sí,Condesa,211
2023-01-11,Sofía Gutiérrez,Paquete,Reformer,Reformer,24,No,Polanco,8877
2023-01-11,Ana Ramírez,Paquete,Mat Pilates,Ninguno,12,No,Condesa,4575
2023-01-11,Sofía Díaz,Paquete,Chair,Chair,12,No,Polanco,4115
2023-01-11,Carlos Rodríguez,Fitpass,Reformer,Reformer,0,Sí,Roma,184
2023-01-11,Regina Díaz,Fitpass,Chair,Chair,0,Sí,Roma,231
2023-01-12,Luis Mendoza,Fitpass,Chair,Chair,0,Sí,Roma,230
2023-01-12,Natalia González,Fitpass,Reformer,Reformer,0,Sí,Polanco,196
2023-01-12,Luis Reyes,Paquete,Reformer,Reformer,8,No,Roma,3141
2023-01-12,Rodrigo Díaz,Paquete,Cadillac,Cadillac,12,No,Condesa,4397
2023-01-12,Luis Vázquez,Paquete,Chair,Chair,12,No,Roma,4664
2023-01-12,Claudia Rodríguez,Paquete,Cadillac,Cadillac,8,No,Roma,3269
2023-01-12,Mateo Reyes,Fitpass,Reformer,Reformer,0,Sí,Polanco,188
2023-01-12,Mariana Jiménez,Paquete,Mat Pilates,Ninguno,8,No,Roma,2916
2023-01-12,Gabriela González,Fitpass,Chair,Chair,0,Sí,Condesa,188
2023-01-12,Fernanda Martínez,Paquete,Mat Pilates,Ninguno,12,No,Polanco,4380
2023-01-12,Carolina Torres,Paquete,Reformer,Reformer,8,No,Condesa,3113
2023-01-12,Diego Rodríguez,Clase Individual,Reformer,Reformer,0,No,Polanco,409
2023-01-12,Carlos Martínez,Fitpass,Cadillac,Cadillac,0,Sí,Condesa,212
2023-01-12,Natalia González,Paquete,Mat Pilates,Ninguno,8,No,Polanco,3036
2023-01-12,Fernanda López,Fitpass,Mat Pilates,Ninguno,0,Sí,Polanco,191
2023-01-12,Mateo González,Paquete,Mat Pilates,Ninguno,8,No,Roma,3221
2023-01-12,Carolina Jiménez,Fitpass,Reformer,Reformer,0,Sí,Roma,216
2023-01-12,Alejandro Reyes,Paquete,Chair,Chair,8,No,Polanco,3193
2023-01-13,Camila Sánchez,Paquete,Cadillac,Cadillac,8,No,Condesa,3034
2023-01-13,Santiago Martínez,Paquete,Reformer,Reformer,8,No,Polanco,3125
2023-01-13,Santiago Torres,Clase Individual,Reformer,Reformer,0,No,Polanco,415
2023-01-13,Valeria Díaz,Paquete,Mat Pilates,Ninguno,24,No,Roma,8738
2023-01-13,Regina Sánchez,Paquete,Reformer,Reformer,8,No,Condesa,3001
2023-01-13,Camila González,Fitpass,Reformer,Reformer,0,Sí,Roma,224
2023-01-13,Natalia Vázquez,Paquete,Reformer,Reformer,12,No,Polanco,4638
2023-01-13,Ana Gómez,Paquete,Chair,Chair,8,No,Roma,3238
2023-01-13,Diego Gómez,Paquete,Chair,Chair,12,No,Roma,4486
2023-01-13,Javier González,Clase Individual,Chair,Chair,0,No,Condesa,442
2023-01-13,Victoria Martínez,Paquete,Cadillac,Cadillac,12,No,Condesa,4627
2023-01-13,Fernando Vázquez,Clase Individual,Cadillac,Cadillac,0,No,Roma,477
2023-01-13,Ximena Gutiérrez,Paquete,Mat Pilates,Ninguno,8,No,Roma,2978
2023-01-14,Ximena Vázquez,Clase Individual,Reformer,Reformer,0,No,Roma,476
2023-01-14,Santiago Pérez,Fitpass,Cadillac,Cadillac,0,Sí,Roma,208
2023-01-14,Luis Gutiérrez,Fitpass,Chair,Chair,0,Sí,Condesa,225
2023-01-14,Javier Sánchez,Paquete,Reformer,Reformer,8,No,Roma,2992
2023-01-14,Ana Martínez,Paquete,Cadillac,Cadillac,12,No,Roma,4137
2023-01-14,Rodrigo Gutiérrez,Paquete,Reformer,Reformer,8,No,Polanco,3023
2023-01-14,Santiago Gómez,Fitpass,Reformer,Reformer,0,Sí,Condesa,201
2023-01-14,Victoria Flores,Paquete,Reformer,Reformer,8,No,Roma,3013
2023-01-14,Rodrigo Pérez,Fitpass,Chair,Chair,0,Sí,Condesa,203
2023-01-14,Carolina Torres,Paquete,Cadillac,Cadillac,12,No,Roma,4202
2023-01-14,Sofía Rodríguez,Paquete,Reformer,Reformer,8,No,Condesa,2928
2023-01-14,Camila Mendoza,Fitpass,Mat Pilates,Ninguno,0,Sí,Roma,216
2023-01-14,Ana González,Paquete,Mat Pilates,Ninguno,8,No,Roma,2991
2023-01-15,Camila Vázquez,Fitpass,Chair,Chair,0,Sí,Roma,233
2023-01-15,Santiago Sánchez,Fitpass,Chair,Chair,0,Sí,Condesa,180
2023-01-15,Victoria Sánchez,Paquete,Mat Pilates,Ninguno,8,No,Polanco,2924
2023-01-15,Victoria Cruz,Paquete,Reformer,Reformer,12,No,Condesa,4534
2023-01-15,Camila Mendoza,Fitpass,Chair,Chair,0,Sí,Condesa,204
2023-01-15,Claudia Hernández,Fitpass,Chair,Chair,0,Sí,Roma,209
2023-01-15,Carlos Martínez,Clase Individual,Chair,Chair,0,No,Condesa,508
2023-01-15,Regina Gutiérrez,Clase Individual,Reformer,Reformer,0,No,Polanco,507
2023-01-15,Mateo Hernández,Fitpass,Reformer,Reformer,0,Sí,Roma,226
2023-01-15,Andrea Gómez,Clase Individual,Reformer,Reformer,0,No,Condesa,428
2023-01-15,Luis Jiménez,Paquete,Reformer,Reformer,12,No,Condesa,4627
2023-01-15,Javier Hernández,Fitpass,Reformer,Reformer,0,Sí,Condesa,206
2023-01-15,Camila Sánchez,Fitpass,Chair,Chair,0,Sí,Roma,214
2023-01-15,Paula Gutiérrez,Paquete,Chair,Chair,8,No,Condesa,3127
2023-01-15,Santiago Martínez,Paquete,Cadillac,Cadillac,8,No,Roma,2966
2023-01-16,Gabriela Martínez,Paquete,Mat Pilates,Ninguno,8,No,Polanco,2903
2023-01-16,Fernanda Gutiérrez,Fitpass,Reformer,Reformer,0,Sí,Roma,236
2023-01-16,Valeria Sánchez,Fitpass,Reformer,Reformer,0,Sí,Polanco,240
2023-01-16,Ximena López,Clase Individual,Reformer,Reformer,0,No,Roma,399
2023-01-16,Laura Flores,Paquete,Reformer,Reformer,8,No,Polanco,3048
2023-01-16,Javier Jiménez,Paquete,Reformer,Reformer,8,No,Polanco,3259
2023-01-16,Sofía Morales,Paquete,Reformer,Reformer,8,No,Condesa,3300
2023-01-16,Andrea Jiménez,Paquete,Reformer,Reformer,8,No,Condesa,3288
2023-01-16,Sofía Mendoza,Clase Individual,Reformer,Reformer,0,No,Condesa,491
2023-01-16,Carlos Vázquez,Fitpass,Reformer,Reformer,0,Sí,Roma,191
2023-01-16,Lucía Rodríguez,Paquete,Cadillac,Cadillac,8,No,Roma,3234
2023-01-16,Claudia Torres,Clase Individual,Chair,Chair,0,No,Roma,428
2023-01-16,Lucía Ramírez,Paquete,Mat Pilates,Ninguno,24,No,Roma,8455
2023-01-16,Fernando Morales,Fitpass,Reformer,Reformer,0,Sí,Condesa,218
2023-01-16,Carolina Cruz,Clase Individual,Reformer,Reformer,0,No,Roma,478
2023-01-17,Valeria García,Paquete,Chair,Chair,8,No,Roma,3010
2023-01-17,Luis Vázquez,Paquete,Reformer,Reformer,24,No,Condesa,8128
2023-01-17,Valeria Reyes,Fitpass,Reformer,Reformer,0,Sí,Roma,190
2023-01-17,Javier Ramírez,Paquete,Reformer,Reformer,12,No,Condesa,4528
2023-01-17,Carolina Mendoza,Fitpass,Mat Pilates,Ninguno,0,Sí,Polanco,196
2023-01-17,Rodrigo Morales,Clase Individual,Reformer,Reformer,0,No,Condesa,415
2023-01-17,Miguel Díaz,Fitpass,Cadillac,Cadillac,0,Sí,Roma,203
2023-01-17,Mariana Rodríguez,Fitpass,Reformer,Reformer,0,Sí,Condesa,188
2023-01-17,Renata García,Paquete,Reformer,Reformer,8,No,Roma,2981
2023-01-17,Sofía Sánchez,Paquete,Reformer,Reformer,8,No,Polanco,3239
2023-01-17,Ximena Gómez,Paquete,Chair,Chair,8,No,Roma,3178
2023-01-17,Laura Pérez,Clase Individual,Reformer,Reformer,0,No,Polanco,514
2023-01-17,Ximena González,Paquete,Reformer,Reformer,8,No,Condesa,3194
2023-01-17,Alejandro Díaz,Paquete,Cadillac,Cadillac,8,No,Roma,2927
2023-01-18,Gabriela Díaz,Paquete,Reformer,Reformer,12,No,Polanco,4670
2023-01-18,Carlos Reyes,Fitpass,Reformer,Reformer,0,Sí,Polanco,207
2023-01-18,Santiago Gutiérrez,Fitpass,Mat Pilates,Ninguno,0,Sí,Polanco,181
2023-01-18,Carolina Torres,Fitpass,Chair,Chair,0,Sí,Condesa,227
2023-01-18,Claudia Martínez,Clase Individual,Chair,Chair,0,No,Roma,515
2023-01-18,Diego Jiménez,Paquete,Mat Pilates,Ninguno,24,No,Roma,8268
2023-01-18,Andrea Gutiérrez,Paquete,Reformer,Reformer,8,No,Roma,3026
2023-01-18,Carolina Rodríguez,Fitpass,Cadillac,Cadillac,0,Sí,Roma,240
2023-01-18,Carolina García,Fitpass,Reformer,Reformer,0,Sí,Roma,209
2023-01-18,Fernando Pérez,Fitpass,Mat Pilates,Ninguno,0,Sí,Polanco,199
2023-01-18,Ximena López,Paquete,Reformer,Reformer,24,No,Roma,8612
2023-01-18,Regina Vázquez,Paquete,Reformer,Reformer,12,No,Polanco,4221
2023-01-18,Laura Gómez,Paquete,Reformer,Reformer,12,No,Polanco,4619
2023-01-18,Fernando García,Fitpass,Chair,Chair,0,Sí,Condesa,198
2023-01-18,Carolina Gómez,Fitpass,Cadillac,Cadillac,0,Sí,Condesa,185
2023-01-18,Mariana Mendoza,Fitpass,Cadillac,Cadillac,0,Sí,Roma,210
2023-01-19,Claudia Vázquez,Clase Individual,Reformer,Reformer,0,No,Condesa,460
2023-01-19,Mateo Cruz,Clase Individual,Mat Pilates,Ninguno,0,No,Condesa,384
2023-01-19,Mateo Martínez,Paquete,Reformer,Reformer,24,No,Polanco,8131
2023-01-19,María Reyes,Paquete,Cadillac,Cadillac,8,No,Roma,3012
2023-01-19,Diego Hernández,Clase Individual,Reformer,Reformer,0,No,Condesa,477
2023-01-19,Rodrigo López,Clase Individual,Chair,Chair,0,No,Roma,452
2023-01-19,Mateo González,Paquete,Reformer,Reformer,8,No,Roma,3049
2023-01-19,Paula López,Fitpass,Reformer,Reformer,0,Sí,Roma,215
2023-01-19,Gabriela Ramírez,Paquete,Reformer,Reformer,12,No,Polanco,4402
2023-01-19,Natalia Reyes,Paquete,Mat Pilates,Ninguno,24,No,Condesa,7931
2023-01-19,Mariana Jiménez,Fitpass,Reformer,Reformer,0,Sí,Condesa,211
2023-01-19,Sofía Morales,Paquete,Mat Pilates,Ninguno,8,No,Roma,3292
2023-01-19,Carlos Martínez,Paquete,Reformer,Reformer,8,No,Condesa,3271
2023-01-19,Natalia Reyes,Clase Individual,Reformer,Reformer,0,No,Condesa,401
2023-01-19,Laura Vázquez,Fitpass,Mat Pilates,Ninguno,0,Sí,Roma,181
2023-01-19,Lucía Morales,Paquete,Reformer,Reformer,12,No,Roma,4658
2023-01-19,María Morales,Clase Individual,Cadillac,Cadillac,0,No,Condesa,477
2023-01-19,Regina Jiménez,Clase Individual,Cadillac,Cadillac,0,No,Polanco,468
2023-01-19,Carlos López,Fitpass,Chair,Chair,0,Sí,Polanco,203
2023-01-19,Laura Reyes,Paquete,Cadillac,Cadillac,24,No,Roma,8588
2023-01-19,Camila Díaz,Paquete,Chair,Chair,12,No,Condesa,4279
2023-01-19,Regina Rodríguez,Clase Individual,Reformer,Reformer,0,No,Condesa,463
2023-01-20,Rodrigo Morales,Paquete,Reformer,Reformer,12,No,Condesa,4292
2023-01-20,Regina Rodríguez,Clase Individual,Reformer,Reformer,0,No,Roma,511
2023-01-20,Natalia Vázquez,Fitpass,Reformer,Reformer,0,Sí,Condesa,224
2023-01-20,Javier Flores,Fitpass,Mat Pilates,Ninguno,0,Sí,Condesa,234
2023-01-20,Fernando Morales,Paquete,Reformer,Reformer,8,No,Roma,3089
2023-01-20,Santiago Gómez,Clase Individual,Chair,Chair,0,No,Roma,443
2023-01-20,Andrea Cruz,Paquete,Reformer,Reformer,8,No,Condesa,3230
2023-01-20,Victoria Vázquez,Paquete,Reformer,Reformer,12,No,Condesa,4602
2023-01-20,Ximena Gómez,Paquete,Cadillac,Cadillac,8,No,Polanco,3067
2023-01-20,Valeria Reyes,Fitpass,Reformer,Reformer,0,Sí,Condesa,229
2023-01-20,Regina Mendoza,Fitpass,Mat Pilates,Ninguno,0,Sí,Condesa,225
2023-01-20,Diego Hernández,Paquete,Reformer,Reformer,12,No,Condesa,4647
2023-01-20,Carolina Sánchez,Clase Individual,Mat Pilates,Ninguno,0,No,Polanco,459
2023-01-20,Carolina Morales,Paquete,Reformer,Reformer,8,No,Polanco,3107
2023-01-20,Rodrigo Pérez,Paquete,Reformer,Reformer,12,No,Polanco,4109
2023-01-20,Natalia Mendoza,Paquete,Reformer,Reformer,8,No,Roma,3078
2023-01-21,Natalia García,Clase Individual,Reformer,Reformer,0,No,Condesa,443
2023-01-21,Rodrigo Sánchez,Fitpass,Chair,Chair,0,Sí,Polanco,237
2023-01-21,Santiago Vázquez,Paquete,Chair,Chair,12,No,Roma,4132
2023-01-21,Laura Hernández,Paquete,Reformer,Reformer,8,No,Roma,3300
2023-01-21,Lucía Ramírez,Clase Individual,Cadillac,Cadillac,0,No,Polanco,490
2023-01-21,Laura Mendoza,Paquete,Reformer,Reformer,8,No,Roma,3230
2023-01-21,Claudia Reyes,Paquete,Reformer,Reformer,12,No,Condesa,4268
2023-01-21,Luis Gutiérrez,Fitpass,Reformer,Reformer,0,Sí,Roma,228
2023-01-21,Renata Torres,Fitpass,Reformer,Reformer,0,Sí,Condesa,211
2023-01-21,Paula Ramírez,Fitpass,Chair,Chair,0,Sí,Polanco,227
2023-01-21,Renata Morales,Fitpass,Reformer,Reformer,0,Sí,Condesa,187
2023-01-21,Diego Díaz,Clase Individual,Cadillac,Cadillac,0,No,Roma,418
2023-01-21,Daniela Ramírez,Clase Individual,Reformer,Reformer,0,No,Condesa,413
2023-01-21,Paula García,Fitpass,Reformer,Reformer,0,Sí,Polanco,233
2023-01-21,Lucía Martínez,Fitpass,Chair,Chair,0,Sí,Condesa,234
2023-01-21,Sofía Cruz,Fitpass,Reformer,Reformer,0,Sí,Polanco,231
2023-01-22,Gabriela Reyes,Fitpass,Cadillac,Cadillac,0,Sí,Roma,221
2023-01-22,Natalia González,Fitpass,Cadillac,Cadillac,0,Sí,Roma,214
2023-01-22,Ximena Torres,Fitpass,Chair,Chair,0,Sí,Roma,228
2023-01-22,Claudia Gutiérrez,Fitpass,Reformer,Reformer,0,Sí,Roma,180
2023-01-22,Fernando Gómez,Clase Individual,Reformer,Reformer,0,No,Roma,457
2023-01-22,Carolina Díaz,Clase Individual,Cadillac,Cadillac,0,No,Polanco,520
2023-01-22,Paula Rodríguez,Paquete,Reformer,Reformer,12,No,Roma,4370
2023-01-22,Victoria Rodríguez,Clase Individual,Chair,Chair,0,No,Roma,516
2023-01-23,Valeria Díaz,Paquete,Chair,Chair,8,No,Roma,3204
2023-01-23,Regina Gutiérrez,Fitpass,Mat Pilates,Ninguno,0,Sí,Polanco,183
2023-01-23,Sofía Gutiérrez,Paquete,Reformer,Reformer,8,No,Roma,3103
2023-01-23,Diego Hernández,Paquete,Cadillac,Cadillac,8,No,Condesa,2969
2023-01-23,Fernanda Rodríguez,Fitpass,Reformer,Reformer,0,Sí,Roma,228
2023-01-23,Regina Jiménez,Clase Individual,Reformer,Reformer,0,No,Condesa,419
2023-01-23,Valeria Morales,Paquete,Chair,Chair,24,No,Polanco,8491
2023-01-23,Fernanda González,Fitpass,Reformer,Reformer,0,Sí,Roma,210
2023-01-23,Ana Morales,Clase Individual,Chair,Chair,0,No,Condesa,410
2023-01-23,Daniela Reyes,Paquete,Chair,Chair,8,No,Roma,3165
2023-01-23,Laura Ramírez,Fitpass,Reformer,Reformer,0,Sí,Roma,187
2023-01-23,Fernando Hernández,Fitpass,Reformer,Reformer,0,Sí,Condesa,229
2023-01-23,Alejandro Vázquez,Clase Individual,Chair,Chair,0,No,Roma,467
